ordinal,scenario,dataset,dsm_mode_tag,residual,fusion,batch_size,model,optimizer,learning_rate,epochs,num_classes,accuracy,precision,recall,macro_f1,macro_f2,mcc,mae,qwk,cm00,cm01,cm10,cm11,confusion_matrix_json,best_val_f1,best_val_epoch,monitor_metric,train_time_sec,num_test_samples,predictions_csv,result_dir
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,Adam,0.0001,100,5,0.36472346786248133,0.18813124246061427,0.24984368286793468,0.18259020737957374,0.2071341216514302,0.5347094612802364,0.977204783258595,0.09121371369231712,0,0,0,0,"[[277, 104, 4, 0, 0], [667, 677, 54, 3, 0], [193, 258, 22, 0, 0], [83, 145, 19, 0, 0], [82, 70, 18, 0, 0]]",0.18681356126115975,6,val_f1,13.020479440689087,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adam_lr0.0001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adam_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,Adam,0.0001,100,5,0.3531390134529148,0.37621914144408475,0.25881705803996996,0.17797875249365755,0.20579730912715447,0.536520262587496,0.9917787742899851,0.11963125603785385,0,0,0,0,"[[316, 65, 4, 0, 0], [740, 617, 42, 2, 0], [201, 262, 10, 0, 0], [89, 148, 10, 0, 0], [77, 74, 11, 6, 2]]",0.18421786955429958,10,val_f1,15.943623781204224,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adam_lr0.0001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adam_lr0.0001_bs128
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,Adam,0.0001,100,5,0.36771300448430494,0.35177657097704856,0.2544950856346361,0.19941844046156101,0.2173926538498257,0.5296281384633863,0.9248878923766816,0.21163919144076038,0,0,0,0,"[[265, 112, 7, 1, 0], [677, 698, 21, 3, 2], [179, 284, 9, 1, 0], [69, 169, 7, 2, 0], [39, 64, 36, 21, 10]]",0.23342648621662204,35,val_f1,54.596598625183105,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adam_lr0.0001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adam_lr0.0001_bs64
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,Adam,0.001,100,5,0.42451420029895365,0.15895380387316155,0.2616253696339349,0.18874684596648342,0.2218757073834084,0.5497136110802423,0.9024663677130045,0.0864751046745269,0,0,0,0,"[[264, 121, 0, 0, 0], [527, 872, 2, 0, 0], [158, 315, 0, 0, 0], [76, 171, 0, 0, 0], [62, 101, 6, 1, 0]]",0.189322867254384,3,val_f1,10.59781527519226,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adam_lr0.001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adam_lr0.001_bs256
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,Adam,0.001,100,5,0.3860239162929746,0.16048003968349434,0.2543594459754014,0.17713269372605656,0.20863663314407419,0.5397649882645393,0.9581464872944694,0.09380041157130359,0,0,0,0,"[[283, 102, 0, 0, 0], [634, 749, 18, 0, 0], [192, 280, 1, 0, 0], [98, 149, 0, 0, 0], [59, 99, 9, 3, 0]]",0.18041852432121924,2,val_f1,13.133245706558228,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adam_lr0.001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adam_lr0.001_bs128
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,Adam,0.001,100,5,0.4880418535127055,0.4075134573455076,0.3059712727249976,0.28173885509204805,0.28956273255885917,0.5723755115615305,0.7238415545590433,0.3198827218546617,0,0,0,0,"[[220, 158, 6, 1, 0], [345, 1044, 10, 2, 0], [78, 386, 8, 0, 1], [29, 208, 7, 2, 1], [6, 85, 24, 23, 32]]",0.3064085299645212,40,val_f1,59.514111280441284,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adam_lr0.001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adam_lr0.001_bs64
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,SGD,0.0001,100,5,0.31352765321375187,0.17855402561673822,0.20534372615486207,0.1707306584352139,0.18262126418662564,0.5009471880671497,1.0287742899850523,0.05039904150429686,0,0,0,0,"[[183, 157, 43, 2, 0], [648, 598, 144, 10, 1], [180, 227, 57, 9, 0], [91, 113, 42, 1, 0], [73, 69, 25, 3, 0]]",0.16974836549629546,30,val_f1,23.447263479232788,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.0001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,SGD,0.0001,100,5,0.3344544095665172,0.1794641486080561,0.22321936417250393,0.18043488220315304,0.1961365937957208,0.5123427108408738,0.9958893871449925,0.07350981071943663,0,0,0,0,"[[211, 144, 30, 0, 0], [631, 627, 135, 8, 0], [175, 237, 57, 4, 0], [80, 124, 43, 0, 0], [69, 79, 22, 0, 0]]",0.1785184960418605,52,val_f1,45.89432978630066,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.0001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.0001_bs128
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,SGD,0.0001,100,5,0.33408071748878926,0.17904586829543095,0.22156970761920713,0.17978745903732415,0.1951126813820983,0.5112527515589103,0.9970104633781763,0.07301092496300854,0,0,0,0,"[[207, 147, 31, 0, 0], [631, 630, 133, 7, 0], [179, 234, 57, 3, 0], [79, 128, 40, 0, 0], [67, 79, 24, 0, 0]]",0.17760870474509655,17,val_f1,33.101638078689575,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.0001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.0001_bs64
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,SGD,0.001,100,5,0.3654708520179372,0.17938404388844764,0.21725544014274653,0.18715876563996864,0.20063799366670154,0.5099569229958231,0.9375934230194319,0.05864152210861184,0,0,0,0,"[[160, 193, 32, 0, 0], [493, 756, 147, 5, 0], [128, 282, 62, 1, 0], [67, 136, 44, 0, 0], [62, 82, 26, 0, 0]]",0.1904777038299012,6,val_f1,10.72300910949707,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.001_bs256
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,SGD,0.001,100,5,0.37294469357249627,0.20980677056548389,0.235207738225359,0.2058395749361738,0.21909936242658073,0.5243615387773808,0.9181614349775785,0.08993388069973829,0,0,0,0,"[[172, 173, 38, 2, 0], [463, 729, 197, 11, 1], [119, 253, 95, 6, 0], [56, 133, 56, 2, 0], [58, 75, 36, 1, 0]]",0.1924945917927854,4,val_f1,12.46370530128479,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.001_bs128
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,SGD,0.001,100,5,0.3718236173393124,0.18920807552573465,0.23343768559843453,0.19492066357926255,0.21130098942406264,0.5180741528197185,0.930119581464873,0.08790828964802122,0,0,0,0,"[[198, 169, 18, 0, 0], [527, 737, 130, 7, 0], [137, 276, 60, 0, 0], [54, 157, 36, 0, 0], [61, 89, 20, 0, 0]]",0.19020521656287384,4,val_f1,18.232858657836914,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/SGD_lr0.001_bs64
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,RMSprop,0.0001,100,5,0.3867713004484305,0.19676257734456853,0.25008479295218,0.1861321821660713,0.21095905048195135,0.5407784976386556,0.9656203288490284,0.05292086252974093,0,0,0,0,"[[259, 124, 2, 0, 0], [601, 759, 41, 0, 0], [191, 265, 17, 0, 0], [94, 143, 10, 0, 0], [87, 75, 8, 0, 0]]",0.18781704757471943,5,val_f1,11.085948944091797,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.0001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,RMSprop,0.0001,100,5,0.37144992526158443,0.19476591361182155,0.24927323129205506,0.1906326507523035,0.2123283401444346,0.5354256045106542,0.9663677130044843,0.0812096338010243,0,0,0,0,"[[259, 117, 9, 0, 0], [621, 700, 76, 4, 0], [185, 253, 35, 0, 0], [78, 146, 23, 0, 0], [81, 72, 17, 0, 0]]",0.18313575751463906,3,val_f1,12.9496488571167,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.0001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.0001_bs128
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,RMSprop,0.0001,100,5,0.3419282511210762,0.35068058840462535,0.26419766718470594,0.21452900872512518,0.22426653952059844,0.5293791620116458,0.9652466367713004,0.23348268130928784,0,0,0,0,"[[279, 99, 5, 1, 1], [775, 599, 17, 7, 3], [220, 240, 12, 0, 1], [86, 151, 7, 2, 1], [34, 64, 25, 24, 23]]",0.24784056214256708,64,val_f1,81.82909774780273,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.0001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.0001_bs64
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,RMSprop,0.001,100,5,0.47533632286995514,0.4042818013603739,0.3179157093177848,0.298233387918995,0.30218473880279834,0.5752107871019849,0.7414050822122571,0.3294648478855011,0,0,0,0,"[[232, 144, 6, 1, 2], [389, 973, 34, 3, 2], [91, 354, 26, 1, 1], [35, 191, 17, 2, 2], [13, 69, 29, 20, 39]]",0.31920304287486545,43,val_f1,29.576829195022583,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.001_bs256
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,RMSprop,0.001,100,5,0.4899103139013453,0.3809058748556282,0.2591402026794939,0.25471913401084445,0.252117817737922,0.5428383451090659,0.6976831091180867,0.2814293463548826,0,0,0,0,"[[103, 266, 14, 2, 0], [184, 1165, 47, 2, 3], [32, 423, 13, 4, 1], [7, 221, 14, 4, 1], [4, 82, 32, 26, 26]]",0.30193305089661504,13,val_f1,19.43901824951172,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.001_bs128
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,RMSprop,0.001,100,5,0.4697309417040359,0.3751658456486043,0.29538218115790704,0.2702626655865029,0.27851793211728804,0.5612337588640921,0.75,0.3090136906046961,0,0,0,0,"[[212, 165, 6, 2, 0], [381, 1005, 12, 3, 0], [92, 371, 7, 2, 1], [33, 204, 8, 0, 2], [7, 82, 27, 21, 33]]",0.29327303281443595,20,val_f1,36.614181995391846,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/RMSprop_lr0.001_bs64
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,Nadam,0.0001,100,5,0.3710762331838565,0.18232456545185016,0.24558611217642143,0.18328611034399425,0.2075400104397181,0.5304466819067122,0.9573991031390134,0.09385558513361314,0,0,0,0,"[[260, 119, 6, 0, 0], [626, 712, 60, 3, 0], [173, 279, 21, 0, 0], [76, 147, 24, 0, 0], [76, 76, 18, 0, 0]]",0.18990504713819992,6,val_f1,15.391033411026001,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.0001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,Nadam,0.0001,100,5,0.36771300448430494,0.196082951920537,0.25639398531186786,0.1949662709120345,0.21715640137440473,0.5399164924670248,0.9633781763826607,0.10734402779068175,0,0,0,0,"[[275, 99, 11, 0, 0], [634, 665, 95, 7, 0], [189, 240, 44, 0, 0], [75, 141, 31, 0, 0], [74, 70, 26, 0, 0]]",0.18732127887885816,4,val_f1,17.411471366882324,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.0001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.0001_bs128
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,Nadam,0.0001,100,5,0.36061285500747386,0.3513443441832885,0.26509695836360925,0.235834065294177,0.239401484921176,0.5233262622002345,0.9174140508221226,0.25743464343349276,0,0,0,0,"[[231, 142, 10, 0, 2], [682, 683, 23, 8, 5], [176, 279, 15, 2, 1], [71, 162, 9, 3, 2], [24, 71, 15, 27, 33]]",0.27943083315732675,85,val_f1,132.12014842033386,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.0001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.0001_bs64
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,Nadam,0.001,100,5,0.4170403587443946,0.37713779441693396,0.28796563530667807,0.2553577336459913,0.26368749301417643,0.5453697871081798,0.8251121076233184,0.29532606517690274,0,0,0,0,"[[245, 130, 8, 2, 0], [544, 826, 29, 2, 0], [125, 333, 13, 1, 1], [50, 187, 7, 1, 2], [15, 75, 26, 23, 31]]",0.2912877278666753,39,val_f1,33.83113098144531,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.001_bs256
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,Nadam,0.001,100,5,0.413677130044843,0.37228129015366596,0.28152193955737587,0.24251134805334265,0.2542685705668753,0.5433492753868893,0.8340807174887892,0.28888159837275673,0,0,0,0,"[[250, 127, 8, 0, 0], [564, 821, 14, 2, 0], [139, 322, 10, 1, 1], [43, 196, 5, 1, 2], [14, 80, 29, 22, 25]]",0.27936054704943,39,val_f1,46.46298289299011,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.001_bs128
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,Nadam,0.001,100,5,0.49962630792227203,0.4262076270341158,0.30316096871678966,0.2797108600651833,0.2877830727388043,0.576859582013434,0.7070254110612855,0.31361913314742174,0,0,0,0,"[[216, 158, 10, 1, 0], [306, 1082, 11, 2, 0], [65, 396, 11, 0, 1], [17, 216, 11, 3, 0], [8, 87, 25, 25, 25]]",0.3276060320589147,39,val_f1,69.7586658000946,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Nadam_lr0.001_bs64
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,Adamax,0.0001,100,5,0.34417040358744394,0.2209943038178135,0.2316659014071336,0.19122603101697758,0.20588165953429188,0.5175117153135426,0.9783258594917787,0.07892962426098149,0,0,0,0,"[[215, 140, 30, 0, 0], [592, 643, 153, 12, 1], [160, 250, 59, 4, 0], [75, 121, 47, 4, 0], [70, 78, 22, 0, 0]]",0.19742081059187183,8,val_f1,13.847861766815186,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.0001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.0001_bs256
True,5,dataset_16,dsm_density_uncertainty,True,concat,128,FCSNN,Adamax,0.0001,100,5,0.36136023916292975,0.2201444899078024,0.23982632355889083,0.199614753886799,0.21477071669383227,0.5265100249357921,0.9540358744394619,0.09033095371172273,0,0,0,0,"[[217, 141, 26, 1, 0], [556, 684, 146, 15, 0], [155, 252, 62, 4, 0], [71, 126, 46, 4, 0], [69, 71, 29, 1, 0]]",0.19218599535012412,6,val_f1,15.48985481262207,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.0001_bs128/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.0001_bs128
True,5,dataset_16,dsm_density_uncertainty,True,concat,64,FCSNN,Adamax,0.0001,100,5,0.3774289985052317,0.18634666632455751,0.2524468715554817,0.18509302032550196,0.2115078481910036,0.5339219496077615,0.9491778774289985,0.10098605210049394,0,0,0,0,"[[274, 107, 4, 0, 0], [632, 718, 51, 0, 0], [165, 290, 18, 0, 0], [76, 154, 17, 0, 0], [73, 84, 12, 1, 0]]",0.19048394541693897,12,val_f1,28.777610540390015,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.0001_bs64/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.0001_bs64
True,5,dataset_16,dsm_density_uncertainty,True,concat,256,FCSNN,Adamax,0.001,100,5,0.3721973094170404,0.15274154509778742,0.2510577787665582,0.1707158092742816,0.20119905462182275,0.5418171502394276,1.0018684603886399,0.053944206987424304,0,0,0,0,"[[289, 96, 0, 0, 0], [691, 707, 3, 0, 0], [220, 253, 0, 0, 0], [105, 142, 0, 0, 0], [94, 71, 5, 0, 0]]",0.1750543310762583,4,val_f1,10.887952327728271,2676,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.001_bs256/predictions.csv,results/scenario_5/FCSNN/dataset_16/dsm_density_uncertainty/residual_True/fusion_concat/Adamax_lr0.001_bs256
